firm,site_name,role,operator,city,country,address,lat,lon,coord_precision,status,gpu_count,gpu_type,power_mw,power_basis,capacity_note,confidence,evidence_count,evidence_url
NorthMark Strategies (ex-G-Research founders),"NorthMark 'Project Moc-1' HPC campus, Spartanburg (former Kohler plant)",self_build_dc,"NorthMark Strategies (via subsidiary Valara Holdings / 'NorthMark Compute and Cloud'). Reportedly the compute vehicle for G-Research per efinancialcareers 'insiders' (president Jen Byrne is ex-G-Research COO; shares NY address with Dorilton, controlled by G-Research founder Peter de Putron) — G-Research link NOT confirmed by any primary source.",Spartanburg,United States,"4000 South Pine Street, Spartanburg County, SC",34.9096,-81.9668,approximate,under_construction,,,450.0,"grid demand / self-generation air-permit: March 2025 filing to SC Dept of Environmental Services requests >450 MW total (five 17-MW + six 54-MW gas combustion turbines) vs an initial ~48 MW permit (24 gas gensets at 2,000 kW each)","ATTRIBUTION: NorthMark venture; G-Research link is a former-COO connection only, not confirmed ownership. $2.8bn HPC/supercomputing campus; three phases (350,000 sq ft warehouse first, then 500,000 sq ft ex-Kohler plant). Self-generates via on-site natural-gas turbines (adjacent pipeline tie-in): ~48 MW initially permitted (24 gas gensets), March 2025 filing requests >450 MW (five 17-MW + six 54-M",reported,4,https://baxtel.com/data-center/northmark-project-moc-1
Qube Research & Technologies,atNorth ICE03 (Akureyri) — QRT HPC deployment,colocation,atNorth,Akureyri,Iceland,"Hlíðarvellir 1, 603 Akureyri",65.676323,-18.141725,exact,operational,,,50.0,"design — campus full-build potential per atNorth Akureyri site page ('50 MW') and DCD ('potential to scale up to 50MW'). NOT QRT-specific: DCD gives a 5MW initial PPA, up to 10MW controllable, and 12MW phase-1 capacity; QRT's own footprint is undisclosed.","QRT is a colocation tenant taking a dedicated high-density HPC environment at atNorth's ICE03 campus in Akureyri, delivered in ~7 months. QRT's own LinkedIn states the facility is live and provides 'significant GPU capacity' and 'low-latency data flow'. Campus-level (NOT QRT-specific) figures from atNorth/DCD: Tier 3 site on a 4.3-hectare plot; phase 1 ~2,500 sqm across two buildings at 12MW; full",confirmed,7,https://www.atnorth.com/case-studies/speed-meets-scale-for-qrt/
XTX Markets,XTX Markets Kajaani data centre campus (Building 1 + planned buildings 2-5),self_build_dc,self,Kajaani,Finland,"Sokajärventie 24, Kajaani (Renforsin Ranta business park / Nurmi industrial area). Postal code stated inconsistently across sources (87100 on Wurth, 87700 elsewhere).",64.2202,27.6892,approximate,under_construction,,,22.5,"IT load — first data centre: 22.5MW of IT power across three data halls (firm-stated). ~250MW full-build figure is DCD-reported, not firm-stated.","Self-built campus on a 478-acre site. First building: 22.5MW IT power across 3 data halls, 15,000 sqm floorspace, completion H1 2026 (firm + YIT contractor confirmed). Investment >EUR 1bn. Up to five data centres planned on the same site; ~250MW at full build-out is DCD-reported (not firm-stated). Main contractor YIT (~EUR 100m contract). Water-free cooling using Finland's cool air. A second build",confirmed,6,https://files.xtxmarkets.com/publications/kajaani/index.html
High-Flyer / DeepSeek,"Fire-Flyer 2 (萤火二号) AI-HPC cluster — self-built, undisclosed machine room; symbolic pin at Hangzhou HQ",self_build_dc,self,Hangzhou,China,,30.3083,120.1636,symbolic,operational,"~10,000","NVIDIA A100 (PCIe, 40GB); predecessor Fire-Flyer 1 was ~1,100 GPUs",3.0,"IT+overhead whole-cluster draw stated verbatim in operator's own SC24/arXiv paper (2408.14158): 'does not exceed 4 MW, approximately just over 3 MW'.","Fire-Flyer 2 (built 2021, ~RMB 1bn): ~10,000 PCIe A100 GPUs, ~1,250 GPU compute nodes, ~180-200 storage servers, two-layer fat-tree 200Gbps InfiniBand (~122 Mellanox QM8700 switches). Whole-cluster draw 'just over 3 MW' per the operator's own SC24/arXiv paper 2408.14158 — a rare source-stated MW figure. Predecessor Fire-Flyer 1 (operational 2020, ~1,100 GPUs, ~RMB 200m) now historical/retired. Lia",confirmed,3,https://arxiv.org/html/2408.14158v1
Wolverine Trading,360TCS Lombard Data Center (360 Technology Center Solutions),self_build_dc,self,Lombard,United States,"360 East 22nd Street, Lombard, IL 60148",41.845789,-88.007182,exact,operational,,,1.0,"grid / available power. datacenters.com and DataCenterKnowledge coverage state the facility has ""access to 1.0 MW of power."" This is available grid power, not an audited IT-load figure; Inflect separately lists a 500 kW power capacity for the Wolverine hall. No single audited IT-load MW figure is public.","~12,000 sq ft (architect Archideas) Tier 3 high-density colocation + disaster-recovery data center at 360 E 22nd St, Lombard. Wolverine's own site calls it ""our Lombard, IL data center"" and lists 360TCS among its businesses; 2008 trade press (DataCenterKnowledge) describes Wolverine as the anchor tenant AND an equity investor in 360TCS (NOT stated as sole/wholly-owned). Built to add capacity/redun",confirmed,5,https://www.wolve.com/trading-businesses
AQR Capital,AQR Capital HQ (legacy on-premises compute),office_hpc,self,Greenwich,USA,"One Greenwich Plaza, Suite 130, Greenwich, CT 06830 (some SEC/contact sources list Two Greenwich Plaza)",41.0195,-73.6288,city_level,historical,,,,,"AQR's legacy 'home-grown' on-premises platform (Apache Mesos-based) predated the AWS migration and is being decommissioned as workloads move to AWS (on-prem footprint targeted ~80% lower). No dedicated named data center, no MW, no rack/GPU/CPU count disclosed. This is an office building, not a colocation or purpose-built DC.",reported,2,https://aws.amazon.com/solutions/case-studies/aqr-ecs-case-study/
AQR Capital,AQR Capital cloud compute (AWS),cloud_region,Amazon Web Services,Greenwich,USA,,41.0195,-73.6288,symbolic,operational,,,,,"AQR built an in-house PaaS on Amazon ECS (running on EC2); migration began 2018 with a stated goal of reducing its on-premises footprint by ~80%. No AWS region, availability zone, GPU count, CPU core count, or MW figure is publicly disclosed. Verified against the AWS case study page.",confirmed,2,https://aws.amazon.com/solutions/case-studies/aqr-ecs-case-study/
Abu Dhabi Investment Authority (ADIA) — Quantitative R&D (جهاز أبوظبي للاستثمار),ADIA Lab Europe — Granada HQ (Antiguo Hospital de la Salud) + RES supercomputing access,office_hpc,self,Granada,Spain,"Antiguo Hospital de la Salud (Old Health Hospital), Granada, Spain",37.1773,-3.5986,city_level,planned,,,,,"ADIA Lab's planned European HQ, to be housed in the former Hospital de la Salud building (still being fitted out). Per the Spain-ADIA Lab agreement, ADIA Lab gains ACCESS to Spanish national supercomputing capacity via RES (Red Espanola de Supercomputacion / BSC), i.e. shared national HPC — NOT an ADIA-owned or on-site data centre. No self-built compute, GPU count, or MW is disclosed for this site",reported,3,https://www.lamoncloa.gob.es/lang/en/gobierno/news/paginas/2023/20230321_adia-lab.aspx
Abu Dhabi Investment Authority (ADIA) — Quantitative R&D (جهاز أبوظبي للاستثمار),"ADIA Lab — Abu Dhabi office (Al Khatem Tower, ADGM)",office_hpc,self,Abu Dhabi,United Arab Emirates,"Level 26, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi",24.4991,54.3893,approximate,operational,,,,,"Headquarters of ADIA Lab, the ADIA-funded independent research institute for data/computational sciences (data science, ML, HPC and quantum computing). This is an office address, NOT a disclosed data centre — no HPC machine, GPU count, or MW is attributed to this site in the public record. Regional supercomputer surveys attribute Abu Dhabi's HPC systems (Artemis/DOM3) to G42, not to ADIA or ADIA L",confirmed,2,https://www.adialab.ae/contact
Abu Dhabi Investment Authority (ADIA) — Quantitative R&D (جهاز أبوظبي للاستثمار),ADIA headquarters — ADIA Tower (Quantitative R&D / Data Science division),on_prem_hq,self,Abu Dhabi,United Arab Emirates,"ADIA Tower, 211 Corniche, PO Box 3600, Abu Dhabi",24.486202,54.351265,exact,operational,,,,,"Home of ADIA's ~100-person Quantitative R&D (QRD) / data-science division that supports in-house systematic/AI-informed investing. NO data centre, HPC, GPU count, or MW is publicly disclosed — the compute substrate (on-prem vs cloud) is not in the public record. This is the administrative/HQ locus of the quant program, not a documented compute hall. Absence of disclosed compute is itself the findi",confirmed,3,https://www.adia.ae/en/contact
