site_id,firm,site_name,facility_type,city,country,lat,lon,coord_precision,status,gpu_count,gpu_type,compute_note,power_mw,energy_note,confidence,evidence_url
T3-003,Citadel Securities,Citadel Securities on Google Cloud,cloud,Miami FL,USA,25.76600,-80.19243,symbolic,active,,,Research platform on Google Cloud: 'more than 1 million cores concurrently' (joint case study). No owned facility in the public record.,,,confirmed,https://cloud.google.com/transform/citadel-securities-reimagine-quantitative-reseach-cloud-scale-speed
T3-014,G-Research,G-Research ML compute (cluster locations undisclosed; London research lab),undisclosed,London,United Kingdom,51.5162,-0.1301,symbolic,active,,,Own job ads describe 'a global estate of data centres'; locations and scale undisclosed.,,,inferred,http://web.archive.org/web/20250314223052/https://www.gresearch.com/vacancy/R2823-Data-Centre-Engineer/
T3-005,High-Flyer Quant (幻方量化),"High-Flyer Fire-Flyer 2 (萤火二号) AI cluster — undisclosed location, symbolic pin at Hangzhou HQ",self_build,Hangzhou,China,30.2741,120.1551,symbolic,active,10000,NVIDIA A100 (PCIe),"Fire-Flyer 2 (2021): ~10,000 PCIe A100s, ~1,250 GPU nodes, ~200 storage servers, RMB 1bn; trained DeepSeek's early models. Predecessor Fire-Flyer 1 (2020, 1,100 A100s) historical.",3.0,Operator's SC24 paper: total draw 'approximately just over 3 MW' (<4 MW).,confirmed,https://arxiv.org/pdf/2408.14158
T3-011,Hudson River Trading,Hudson River Trading AI research data center — Lefdal Mine Datacenter (Norway),colo,"Lefdal, Stad municipality (near Måløy)",Norway,61.932,5.5062,approximate,active,,NVIDIA HGX B200 (Dell PowerEdge XE9685L),AI research deployment at Lefdal Mine Datacenter: direct-liquid-cooled racks >125kW per cabinet (HRT's own posts).,,Lefdal campus runs on Norwegian hydro; fjord-water cooling.,confirmed,https://www.linkedin.com/posts/hudson-river-trading_hpc-at-hrt-scaling-through-the-fjord-activity-7438251239609516032-ZIEs
T3-012,Hudson River Trading,"Hudson River Trading cloud research compute — Google Cloud + Lambda (symbolic pin, New York)",cloud,New York,USA,40.7128,-74.006,symbolic,active,,NVIDIA GPUs (Google Cloud); HGX B200 (Lambda),Google Cloud HPC for research/simulation (2024); Lambda AI-cloud partnership (2026).,,,confirmed,https://www.googlecloudpresscorner.com/2024-07-18-Google-Cloud-Enables-Hudson-River-Tradings-Automated-Trading-Evolution-with-High-Performance-Compute-and-AI-Infrastructure
T3-009,Jane Street,"Jane Street AI training data center (Dallas, TX — city-level)",undisclosed,Dallas,United States,32.7767,-96.797,city_level,active,4032,liquid-cooled GPUs (type undisclosed),"4,032 liquid-cooled GPUs per Jane Street's careers page (public video tour, May 2026); firmwide 'tens of thousands' of high-end GPUs.",,,reported,https://www.datacenterdynamics.com/en/news/quant-trading-firm-jane-street-plans-data-center-report/
T3-010,Jane Street,"Jane Street on CoreWeave AI cloud (symbolic pin, NYC HQ)",cloud,New York,United States,40.7147,-74.0154,symbolic,active,,NVIDIA Vera Rubin (via CoreWeave),"$6bn AI-cloud agreement with CoreWeave (Apr 2026), next-gen compute 'across multiple facilities', plus $1bn equity investment.",,,confirmed,https://www.coreweave.com/news/jane-street-signs-6-billion-ai-cloud-agreement-with-coreweave
T3-015,Jump Trading,"Jump Trading AI research cluster (Vera Rubin NVL72 — symbolic pin, Chicago HQ)",undisclosed,Chicago,USA,41.8965,-87.644,symbolic,active,,NVIDIA Vera Rubin NVL72,Early Vera Rubin NVL72 rack-scale deployment (~Apr 2026); infrastructure supports 'thousands of CPUs and GPUs' (VAST case study). Cluster location undisclosed.,,,confirmed,https://resources.nvidia.com/en-us-financial-services-industry/jump-trading
T3-016,Jump Trading,"Jump Trading HPC data center (Carrollton, TX — city-level, from job listings)",undisclosed,Carrollton,USA,32.9756,-96.89,city_level,active,,,"HPC data centre in Carrollton, TX signalled by on-site technician job ads (high-density liquid-cooled cabinets); operator and capacity undisclosed.",,,inferred,https://boards-api.greenhouse.io/v1/boards/jumptrading/jobs/7781600
T3-008,Minghong Investment (明汯投资),Minghong Investment HPC cluster (明汯投资) — symbolic pin at Shanghai HQ,undisclosed,Shanghai (HQ city; cluster location undisclosed),China,31.2304,121.4737,symbolic,active,,,"Firm statement (Feb 2025): thousands of GPU cards, tens of thousands of CPU cores, multi-PB storage, ~400 PFlops claimed.",,,reported,https://www.cls.cn/detail/1953863
