site_id,site_name,tier,operator_or_venue,firms_linked,lat,lon,coord_precision,city,country,capacity_note,power_mw,status,evidence_type,evidence_note,evidence_url,confidence,verify_url_hint
T1-001,NYSE Mahwah (1700 MacArthur Blvd),execution,ICE/NYSE,"Citadel Securities;Virtu;Jane Street;HRT;GTS (colo tenants, various)",41.07806,-74.15291,exact,Mahwah NJ,USA,NYSE matching engines + colo halls,,active,exchange_docs,"ICE/NYSE IGN Colocation US technical specs PDF (nyse.com): US Liquidity Center at 1700 MacArthur Blvd, Mahwah NJ 07430, production + colocation halls on-site; geocoded to the OSM-mapped 'NYSE Data Center' building",https://www.nyse.com/publicdocs/IGN_Colocation_Mahwah_Technical_Specs.pdf,confirmed,
T1-002,Nasdaq Carteret (1400 Federal Blvd),execution,Nasdaq,broad HFT colo tenant base,40.58451,-74.24334,exact,Carteret NJ,USA,Nasdaq matching engines + colo,,active,exchange_docs,"Nasdaq Trader ExpressConnect factsheet: 'Nasdaq Data Center located in Carteret, NJ' with co-location; 1400 Federal Blvd 07008 corroborated by ICE IGN colo specs access-center table; building-level geocode",https://www.nasdaqtrader.com/content/Productsservices/trading/CoLo/ExpressConnect_factsheet.pdf,confirmed,
T1-003,Equinix NY4/NY5/NY6 campus (Secaucus),execution,Equinix,Cboe equities/options matching; EBS Market NY FX engines (CME); LSEG FX venues colo; broad buy/sell-side ecosystem,40.77643,-74.06978,exact,Secaucus NJ,USA,Multi-tenant; Cboe US markets hosted here. EBS Market 'New York FX Spot'/'Metals' engines primary in NY5 (DR in Slough LD4.2); LSEG FX venue colo per 2026 connectivity guide.,,active,operator_docs,"Equinix publishes NY campus + financial ecosystem marketing; pinned at the NY4 building, 755 Secaucus Rd per PeeringDB fac/36 (OSM-mapped 'Equinix New York Secaucus NY4')",https://cmegroupclientsite.atlassian.net/wiki/display/EPICSANDBOX/EBS+Market+on+CME+Globex+Market+Functionality,confirmed,
T1-004,CyrusOne Aurora I/II (CME Globex),execution,CyrusOne/CME,futures HFT ecosystem (DRW;Jump;Citadel Sec;Tower etc. as colo tenants),41.79805,-88.24355,exact,Aurora IL,USA,CME Globex matching engine,,active,corporate_announcement,"CME Group release (Mar 2016, official wire copy; cmegroup.com pages bot-walled): 15-year leaseback, Globex + co-location continue on-site; campus address 2705-2905 Diehl Rd per CyrusOne's Aurora page; house-number geocode of 2905 Diehl Rd — seed coords were ~2km off, corrected",https://www.prnewswire.com/news-releases/cme-group-announces-agreement-to-sell-aurora-ill-data-center-to-cyrusone-300236608.html,confirmed,
T1-005,Equinix LD4 (Slough Trading Estate),execution,Equinix,LSE Turquoise;Cboe Europe;EBS London matching (CME);LSEG Spot & Forwards Matching primary;broad ecosystem,51.52346,-0.63608,exact,Slough,UK,Major European trading colo hub. LSEG (Refinitiv) Spot & Forwards Matching primary engine in LD4 since 2019 relocation; EBS London matching.,,active,operator_docs,"Equinix LD4 financial ecosystem is publicly marketed; 2 Buckingham Ave, Slough Trading Estate SL1 4NB per PeeringDB fac/399, geocoded to the OSM-mapped 'Equinix LD4' building",https://www.lseg.com/en/media-centre/press-releases/refinitiv/2019/may/refinitiv-enables-greater-cost-efficiencies-and-reduced-latency-for-customers-with-matching-and-fxall-migration,confirmed,
T1-006,Equinix FR2 (Kruppstrasse),execution,Equinix/Deutsche Boerse,Eurex/Xetra proximity ecosystem,50.14225,8.74071,exact,Frankfurt,Germany,Deutsche Boerse matching proximity,,active,exchange_docs,"Deutsche Boerse co-location services page: primary Eurex and Xetra back-ends located in Equinix FR2; Kruppstrasse 121-127, 60388 Frankfurt (Seckbach) per PeeringDB fac/457, building-level geocode — seed coords were ~8km off, corrected",https://www.cashmarket.deutsche-boerse.com/cash-en/Data-Tech/Technology/co-location-services,confirmed,
T1-007,Aruba IT3 (Ponte San Pietro),execution,Aruba/Euronext,Optiver;IMC;Flow Traders et al. forced migration from Basildon 2022,45.70471,9.58985,approximate,Bergamo,Italy,Euronext Optiq matching engines since 2022,,active,corporate_announcement,"Euronext release: Core Data Centre migration Basildon -> Aruba Global Cloud Data Centre Bergamo concluded 6 Jun 2022; address Via San Clemente 53, Ponte San Pietro per Aruba's IT3 page; pin = OSM campus-polygon centroid (IT3 building not separately mapped, hence approximate); Amsterdam prop-shop pushback per press",https://www.euronext.com/en/about/media/euronext-press-releases/successful-completion-migration-euronexts-core-data-centre,confirmed,
T1-008,ICE Basildon (former NYSE Euronext DC),execution,ICE,legacy Euronext venue pre-2022; ICE futures,51.58631,0.49490,approximate,Basildon,UK,Former Euronext matching site,,historical,corporate_announcement,"Euronext release confirms Basildon as origin of the Jun 2022 migration; ICE ownership per Bloomberg/DCK ('rented space in Basildon from Intercontinental Exchange'); no official street address published — 20 Cranes Farm Rd SS14 3DF per industry databases (Baxtel), pin at postcode centroid",https://www.euronext.com/en/about/media/euronext-press-releases/successful-completion-migration-euronexts-core-data-centre,confirmed,
T1-009,HKEX TKO Data Centre,execution,HKEX,regional HFT colo tenants,22.28528,114.27336,exact,Tseung Kwan O,Hong Kong,HKEX matching + colo,,active,exchange_docs,"HKEX Hosting Services page: low-latency co-location with HKEX markets at the TKO data centre; address 1 Chun Ying St, TKO Industrial Estate per HKEX hosting-ecosystem PDF (2013), which also documents cash (2012) + derivatives (2013) trading-system relocation to TKO; geocoded to the OSM-mapped HKEx TKO Data Centre building",https://www.hkex.com.hk/Services/Connectivity/Hosting-Services?sc_lang=en,confirmed,
T1-010,"JPX Primary Data Center (arrowhead + J-GATE), @Tokyo CC2",execution,JPX (facility: AT TOKYO @Tokyo CC2 per Colt case study),arrowhead matching; broad colo,35.6454,139.7933,approximate,Tokyo,Japan,"TSE arrowhead AND OSE/TOCOM J-GATE matching + colocation at one site (J-GATE median order latency 40us; colo-to-engine ~3us). Key finding: 'Osaka' derivatives match in Tokyo — TSE-OSE arbitrage is intra-data-center, hence no Tokyo-Osaka HFT microwave corridor exists.",,active,exchange_docs,JPX FAQ/system pages (colo connects directly to arrowhead + J-GATE); Colt case study names @Tokyo CC2 (archived); PeeringDB fac/738 coords,https://www.jpx.co.jp/faq/system_relation.html,confirmed,
T1-011,"Equinix CH1/CH2/CH4 (350 E Cermak Rd, Chicago)",execution,Equinix (CH1 5th fl / CH2 6th fl / CH4 8th fl) inside Digital Realty's 350 E Cermak carrier hotel (ORD10),"CME Group (pre-Aurora Globex matching/co-lo site; current Certification & New Release platform access), ICE (via ICE gateway), proximity-hosting trading firms broadly, McKay Brothers / Quincy Data (microwave POP)",41.85375,-87.61838,exact,Chicago,United States,"Equinix suites on floors 5/6/8 of Digital Realty's 350 E Cermak carrier hotel (ORD10); industry database Baxtel lists combined Equinix power ~8.2 MW (CH1 3.3 / CH2 2.5 / CH4 2.4) but figures vary across databases and dates, so no hard power value is asserted. CH4 spec (2015) lists a 1,330 sq ft rooftop antenna platform shared with CH1. Historic heart of Chicago market connectivity: CME's old…",,active,operator_docs,"Equinix CH4 IBX spec (address, floors, CME/ICE gateways); CME client wiki still lists 350 E Cermak among colo access facilities (Dec 2025)",https://cloudscene.global.ssl.fastly.net/FacilityPDF/90/90.pdf,confirmed,
T1-012,TMX Markham data centre (3500 Steeles Ave E),execution,TMX Group (Toronto Stock Exchange / TSX Venture / TSX Alpha / Montréal Exchange),"TMX Group (operator). Publicly documented service providers: TNS (colocation + Layer 1 connectivity, 2023), McKay Brothers (wireless routes terminating in the TMX colo hall, 2023-2026), ICE Global Network (microwave market-data delivery to Markham). No individual quant/HFT tenant firms are named in the public record; facility designed for up to 200 co-location spaces.",43.8177,-79.33936,approximate,Markham,Canada,"Designed for up to 200 co-location spaces (TMX completion announcement, June 2010). Hosts TSX, TSX Venture, TSX Alpha and Montréal Exchange engines/feeds; TMX cites ~70% of Canadian equity liquidity and 100% of Canadian exchange-traded derivative liquidity accessible on-site. Industry database (Inflect) lists 150 W/sq ft power density; no source-stated MW figure.",,active,operator_docs,TMX Datalinx co-location services page; DC completion announced June 2010 (Canada Newswire),https://www.tmxinfoservices.com/platforms-and-colocation/co-location-services,confirmed,
T1-013,B3 Data Center Santana de Parnaíba (PUMA matching engines + co-location),execution,"B3 S.A. – Brasil, Bolsa, Balcão (exchange-owned and operated data center)","Individual trading-firm rack placements not publicly disclosed. Publicly documented in-facility service provider: TNS (Transaction Network Services), managed hosting/exchange access inside B3 co-location since Nov 2023. Seaborn Networks and Anova Financial Networks sell exchange-to-exchange routes terminating here. PUMA platform originally co-developed with CME Group.",-23.4664,-46.8657,approximate,Santana de Parnaíba (São Paulo metro),Brazil,"10 MW site power per B3 co-location FAQ ('currently 10 MW, with the possibility of increasing'); Tier III (Uptime Institute) and LEED certified; PUMA matching engines on-site (9 equities, 6 derivatives); co-location trading-rack RTT ~22 microseconds; PUMA production migrated here from downtown São Paulo in November 2017. Described by B3 as the biggest liquidity hub in Latin America.",10.0,active,exchange_docs,B3 official co-location FAQ states 10 MW site power; PUMA matching + colo at Santana de Parnaiba,https://www.b3.com.br/en_us/solutions/hosting-co-location/data-center/data-center/faq.htm,confirmed,
T1-014,"BMV co-location at KIO Networks, Mexico City (per BMV 2012 report)",execution,Bolsa Mexicana de Valores / MexDer (Grupo BMV); hosting documented at KIO Networks facilities in BMV's 2012 annual report,"Americas Trading Group (ATG, via NYSE Technologies, per BMV 2012 report); IPC + Beeks Group (2025 colocation refresh)",19.4326,-99.1332,city_level,Mexico City,Mexico,"Market-access co-location for BMV/MexDer; BMV's 2012 annual report places ATG's co-location in KIO Networks facilities. MoNeT matching engine live 3 Sep 2012 (90-microsecond transaction handling, up to 100,000 tx/s per the same report); matching-engine siting is not explicitly published. BMV 2024 price list publishes active co-location cross-connect fees (USD 5,500/month first cross connection).…",,active,exchange_docs,BMV 2012 annual report places co-location in KIO Networks facilities; specific facility never publicly named — city-level pin,https://www.bmv.com.mx/docs-pub/informeAnual/00y463k46h3xs3qh4yd3.pdf,confirmed,
