ref_id,ref_type,source_no,url,publisher,supports,quote
P-001,path,1,https://mckay-brothers.com/media,,Aurora-Mahwah leg of McKay's Chicago-NJ network (operator latency page),
P-002,path,1,https://www.prnewswire.com/news-releases/quincy-data-lowers-latency-with-mckay-brothers-upgrades-300942526.html,,Aurora-Carteret: QED delivers CME data in 3.982ms (operator-published),
P-003,path,1,https://www.prnewswire.com/news-releases/quincy-data-announces-launch-of-ultra-low-latency-wireless-service-between-aurora-and-secaucus-161388565.html,,Aurora-Secaucus microwave route (launch release),
P-004,path,1,https://www.datacenterknowledge.com/business/furious-land-war-erupts-outside-cme-data-center,,DRW-affiliated Aurora-NJ microwave route per Bloomberg,
P-005,path,1,https://mckay-brothers.com/media,,"350 E Cermak to NY5: 3.885ms one-way (operator media page, 2015)",
P-006,path,1,https://a-teaminsight.com/blog/mckay-brothers-builds-out-low-latency-microwave-connectivity/,,"Cermak POP clients reach Carteret in 7.82ms round trip (A-Team Insight, 2014)",
P-007,path,1,https://a-teaminsight.com/blog/cmes-aurora-co-lo-quick-facts/?brand=tti,,CME fiber between Aurora and the old 350 E Cermak matching/colo centre,
P-008,path,1,https://mckay-brothers.com/media,,Mahwah-Toronto(TMX) route on McKay's network (operator latency page),
P-009,path,1,https://mckay-brothers.com/media,,Aurora-Toronto(TMX) route on McKay's network (operator latency page),
P-010,path,1,https://seabornnetworks.com/products/seaspeed/,,Low-latency B3-Nasdaq Carteret route on Seabras-1 (operator product page),
P-011,path,1,https://seabornnetworks.com/seaborn-networks-and-anova-financial-networks-partner-to-deliver-ultra-low-latency-route-between-b3-and-cme/,,B3-CME route (Seaborn/Anova partnership announcement),
P-012,path,1,https://www.bmv.com.mx/work/models/Grupo_BMV/Resource/2000/28/images/2024%20Vendors%20Price%20List%20V1.pdf,,BMV market-data/connectivity POP at Equinix NY (BMV vendors price list),
P-013,path,1,https://www.bso.co/all-insights/low-latency-hkex-sgx-traders,,SGX-HKEX low-latency route marketed by BSO (operator page),
P-014,path,1,https://cdn.cboe.com/resources/membership/CXA_Connectivity_Manual.pdf,,ALC-SY5 connectivity per Cboe CXA connectivity manual,
P-015,path,1,https://thesource.lseg.com/TheSource/getfile/download/840e069d-969a-4b99-b663-1a67046ab6ed,,LD4 primary / NY4 venue pair per LSEG FX colo connectivity guide,
P-016,path,1,https://cmegroupclientsite.atlassian.net/wiki/display/EPICSANDBOX/EBS+Market+on+CME+Globex+Market+Functionality,,"EBS NY engines primary in NY5, DR in Slough LD4.2 (CME client wiki)",
P-017,path,1,https://cmegroupclientsite.atlassian.net/wiki/display/EPICSANDBOX/CME+Globex+Hub+-+Tokyo,,TY3 Globex hub to NY (CME client wiki),
P-018,path,1,https://thesource.lseg.com/TheSource/getfile/download/840e069d-969a-4b99-b663-1a67046ab6ed,,SG3 NDF Matching primary; LD4 in the venue mesh (LSEG connectivity guide),
P-019,path,1,https://www.moex.com/n23779,,London-Moscow low-latency route for MOEX access (MOEX announcement); historical post-2022,
P-020,path,1,https://www.fibre-systems.com/news/free-space-optics-speed-stock-exchange,,Mahwah-Carteret free-space-optics link (trade press on Anova activation),
P-021,path,1,https://a-teaminsight.com/blog/anova-goes-live-with-low-latency-laser-link-between-nasdaq-and-nyse/,,Carteret-Secaucus laser link (A-Team Insight),
P-022,path,1,https://www.prnewswire.com/news-releases/anova-financial-networks-activates-wireless-connectivity-between-mahwah-and-secaucus-301209914.html,,Mahwah-Secaucus wireless link (Anova press release),
P-023,path,1,https://sniperinmahwah.wordpress.com/2014/09/25/hft-in-my-backyard-ii/,,Swingate-Houtem Channel crossing (Sniper in Mahwah II),
P-024,path,1,https://sniperinmahwah.wordpress.com/2014/09/25/hft-in-my-backyard-ii/,,Dunkerque(Reuze)-Swingate crossing used by most Channel competitors (Laumonier),
P-025,path,1,https://www.prnewswire.com/news-releases/mckay-brothers-launches-route-between-slough-frankfurt-289533021.html,,Slough-Frankfurt microwave route launch (operator release),
P-026,path,1,https://sniperinmahwah.wordpress.com/2014/09/22/hft-in-my-backyard-part-i/,,Houtem-Ramsgate crossing (Sniper in Mahwah I),
P-027,path,1,https://sniperinmahwah.wordpress.com/2014/09/25/hft-in-my-backyard-ii/,,Wavre-Hannut hop on Jump's Belgian chain (dish azimuths documented),
P-028,path,1,https://www.visionscarto.net/hft-in-the-jungle,,Dunkerque-Ramsgate crossing (Visionscarto/Laumonier),
P-029,path,1,https://sniperinmahwah.wordpress.com/2016/01/26/hft-in-the-banana-land/,,Proposed Oostduinkerke-Richborough direct crossing; UK mast refused 2017,
P-030,path,1,https://sniperinmahwah.wordpress.com/2018/05/07/shortwave-trading-part-i-the-west-chicago-tower-mystery/,,West Chicago site's dish aimed at CME Aurora (Van Valzah/Bloomberg),
P-031,path,1,https://sniperinmahwah.wordpress.com/2018/06/07/shortwave-trading-part-ii-faq-and-other-chicago-area-sites/,,Wanatah site backhaul toward Aurora (inferred from Van Valzah fieldwork),
P-032,path,1,https://sniperinmahwah.wordpress.com/2018/07/13/shortwave-trading-part-iii-fourth-chicago-site-east-coast-sites-europe-and-questions/,,Maple Park silo dish pointed at CME Aurora (Van Valzah part III),
P-033,path,1,https://raft-tech.com/hf_shortwave-adoption/,,"Chicago-Frankfurt HF service route (operator page; endpoints are served venues, not antenna sites)",
P-034,path,1,https://raft-tech.com/hf_shortwave-adoption/,,"Chicago-London HF service route (operator page; endpoints are served venues, not antenna sites)",
